Cl.Ord.Id,Instrument,Side,Exec. Status,Quantity,Price
1,aa13,Rose,2,New,100,55,2023-05-27 19:03:15.950,
2,aa14,Rose,1,Rejected,100,12p,2023-05-27 19:03:15.950,Invalid price
3,aa15,Rose,2,New,100,45,2023-05-27 19:03:15.950,
4,aa16,Rose,1,New,200,4,2023-05-27 19:03:15.950,
5,aa17,Royse,2,Rejected,100,15,2023-05-27 19:03:15.950,Invalid instrument
6,aa18,Rose,2,New,100,65,2023-05-27 19:03:15.950,
7,aa19,Rose,1,New,100,1,2023-05-27 19:03:15.950,
8,aa20,Rose,1,pfill,100,45,2023-05-27 19:03:15.950,
3,aa15,Rose,2,Fill,100,45,2023-05-27 19:03:15.950,
8,aa20,Rose,1,Fill,100,55,2023-05-27 19:03:15.950,
1,aa13,Rose,2,Fill,100,55,2023-05-27 19:03:15.950,
9,aa22,Rose,1,New,280,20,2023-05-27 19:03:15.950,
10,aa23,Rose,2,New,300,35,2023-05-27 19:03:15.951,
11,aa24,Rose,1,Fill,300,35,2023-05-27 19:03:15.951,
10,aa23,Rose,2,Fill,300,35,2023-05-27 19:03:15.951,
12,aa25,Rose,2,pfill,280,20,2023-05-27 19:03:15.951,
9,aa22,Rose,1,Fill,280,20,2023-05-27 19:03:15.951,
12,aa25,Rose,2,Fill,20,4,2023-05-27 19:03:15.951,
4,aa16,Rose,1,pfill,20,4,2023-05-27 19:03:15.951,
13,aa26,Rose,1,New,100,1,2023-05-27 19:03:15.951,
14,aa27,Rose,2,New,120,50,2023-05-27 19:03:15.951,
15,aa28,Rose,1,Fill,80,50,2023-05-27 19:03:15.951,
14,aa27,Rose,2,pfill,80,50,2023-05-27 19:03:15.951,
16,aa13,Rose,2,New,100,55,2023-05-27 19:03:15.951,
17,aa14,Rose,1,Rejected,100,12p,2023-05-27 19:03:15.951,Invalid price
18,aa15,Rose,2,New,100,45,2023-05-27 19:03:15.951,
19,aa16,Rose,1,New,200,4,2023-05-27 19:03:15.951,
20,aa17,Royse,2,Rejected,100,15,2023-05-27 19:03:15.951,Invalid instrument
21,aa18,Rose,2,New,100,65,2023-05-27 19:03:15.951,
22,aa19,Rose,1,New,100,1,2023-05-27 19:03:15.951,
23,aa20,Rose,1,pfill,100,45,2023-05-27 19:03:15.951,
18,aa15,Rose,2,Fill,100,45,2023-05-27 19:03:15.951,
23,aa20,Rose,1,Fill,100,50,2023-05-27 19:03:15.951,
14,aa27,Rose,2,Fill,40,50,2023-05-27 19:03:15.951,
24,aa22,Rose,1,New,280,20,2023-05-27 19:03:15.951,
25,aa23,Rose,2,New,300,35,2023-05-27 19:03:15.951,
26,aa24,Rose,1,Fill,300,35,2023-05-27 19:03:15.951,
25,aa23,Rose,2,Fill,300,35,2023-05-27 19:03:15.951,
27,aa25,Rose,2,pfill,280,20,2023-05-27 19:03:15.951,
24,aa22,Rose,1,Fill,280,20,2023-05-27 19:03:15.951,
27,aa25,Rose,2,Fill,20,4,2023-05-27 19:03:15.951,
4,aa16,Rose,1,pfill,20,4,2023-05-27 19:03:15.951,
28,aa26,Rose,1,New,100,1,2023-05-27 19:03:15.951,
29,aa27,Rose,2,New,120,50,2023-05-27 19:03:15.951,
30,aa28,Rose,1,Fill,80,50,2023-05-27 19:03:15.951,
29,aa27,Rose,2,pfill,80,50,2023-05-27 19:03:15.951,
31,aa13,Rose,2,New,100,55,2023-05-27 19:03:15.951,
32,aa14,Rose,1,Rejected,100,12p,2023-05-27 19:03:15.951,Invalid price
33,aa15,Rose,2,New,100,45,2023-05-27 19:03:15.951,
34,aa16,Rose,1,New,200,4,2023-05-27 19:03:15.951,
35,aa17,Royse,2,Rejected,100,15,2023-05-27 19:03:15.951,Invalid instrument
36,aa18,Rose,2,New,100,65,2023-05-27 19:03:15.951,
37,aa19,Rose,1,New,100,1,2023-05-27 19:03:15.951,
38,aa20,Rose,1,pfill,100,45,2023-05-27 19:03:15.951,
33,aa15,Rose,2,Fill,100,45,2023-05-27 19:03:15.951,
38,aa20,Rose,1,Fill,100,50,2023-05-27 19:03:15.951,
29,aa27,Rose,2,Fill,40,50,2023-05-27 19:03:15.951,
39,aa22,Rose,1,New,280,20,2023-05-27 19:03:15.951,
